Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10001,2024-01-01,Home Appliances,Instant Pot Duo,5,99.95,499.75,North America,PayPal
10002,2024-01-02,Electronics,Samsung Galaxy S23,5,849.99,4249.95,Australia,PayPal
10003,2024-01-03,Books,Atomic Habits,5,18.0,90.0,Australia,Credit Card
10004,2024-01-04,Beauty Products,Neutrogena Skincare Set,2,89.99,179.98,Europe,PayPal
10005,2024-01-05,Clothing,Levi's 501 Jeans,2,69.99,139.98,Asia,Credit Card
10006,2024-01-06,Home Appliances,Nespresso Machine,2,159.0,318.0,Australia,PayPal
10007,2024-01-07,Beauty Products,Maybelline Mascara,2,9.99,19.98,North America,Debit Card
10008,2024-01-08,Clothing,Levi's 501 Jeans,4,69.99,279.96,South America,PayPal
10009,2024-01-09,Clothing,Adidas Hoodie,5,55.0,275.0,North America,Debit Card
10010,2024-01-10,Electronics,iPhone 14 Pro,3,999.99,2999.97,South America,PayPal
10011,2024-01-11,Clothing,Adidas Hoodie,2,55.0,110.0,North America,Credit Card
10012,2024-01-12,Home Appliances,Air Purifier,1,129.99,129.99,Asia,PayPal
10013,2024-01-13,Beauty Products,Maybelline Mascara,3,9.99,29.97,North America,Credit Card
10014,2024-01-14,Home Appliances,Dyson V11 Vacuum,4,499.99,1999.96,South America,Credit Card
10015,2024-01-15,Electronics,MacBook Air M2,3,1199.0,3597.0,North America,Debit Card
10016,2024-01-16,Clothing,Adidas Hoodie,5,55.0,275.0,South America,PayPal
10017,2024-01-17,Books,The Da Vinci Code,4,15.99,63.96,South America,PayPal
10018,2024-01-18,Clothing,Levi's 501 Jeans,2,69.99,139.98,South America,Credit Card
10019,2024-01-19,Clothing,Nike Air Max,2,120.0,240.0,North America,Debit Card
10020,2024-01-20,Books,Project Hail Mary,5,14.5,72.5,Europe,PayPal
10021,2024-01-21,Clothing,Levi's 501 Jeans,2,69.99,139.98,Australia,Debit Card
10022,2024-01-22,Electronics,MacBook Air M2,2,1199.0,2398.0,South America,Debit Card
10023,2024-01-23,Books,Atomic Habits,4,18.0,72.0,South America,Debit Card
10024,2024-01-24,Beauty Products,Estee Lauder Serum,3,105.0,315.0,Australia,PayPal
10025,2024-01-25,Beauty Products,L'Oreal Revitalift,5,24.99,124.95,North America,PayPal
10026,2024-01-26,Electronics,iPad Air,2,599.0,1198.0,North America,Credit Card
10027,2024-01-27,Beauty Products,Neutrogena Skincare Set,4,89.99,359.96,Australia,PayPal
10028,2024-01-28,Home Appliances,Air Purifier,5,129.99,649.95,Asia,Debit Card
10029,2024-01-29,Electronics,Samsung Galaxy S23,4,849.99,3399.96,Europe,PayPal
10030,2024-01-30,Electronics,MacBook Air M2,3,1199.0,3597.0,Asia,Credit Card
10031,2024-01-31,Books,Dune,4,12.99,51.96,North America,Debit Card
10032,2024-02-01,Clothing,Adidas Hoodie,3,55.0,165.0,North America,PayPal
10033,2024-02-02,Home Appliances,Instant Pot Duo,2,99.95,199.9,Asia,Credit Card
10034,2024-02-03,Books,The Da Vinci Code,3,15.99,47.97,Europe,Debit Card
10035,2024-02-04,Home Appliances,Nespresso Machine,1,159.0,159.0,South America,PayPal
10036,2024-02-05,Home Appliances,Instant Pot Duo,4,99.95,399.8,Asia,Debit Card
10037,2024-02-06,Electronics,MacBook Air M2,3,1199.0,3597.0,North America,Debit Card
10038,2024-02-07,Electronics,iPad Air,3,599.0,1797.0,North America,Credit Card
10039,2024-02-08,Clothing,Nike Air Max,3,120.0,360.0,Australia,Credit Card
10040,2024-02-09,Clothing,Nike Air Max,4,120.0,480.0,Europe,PayPal
10041,2024-02-10,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Asia,Debit Card
10042,2024-02-11,Books,Atomic Habits,4,18.0,72.0,South America,PayPal
10043,2024-02-12,Electronics,Samsung Galaxy S23,4,849.99,3399.96,South America,Debit Card
10044,2024-02-13,Home Appliances,Air Purifier,1,129.99,129.99,Australia,Credit Card
10045,2024-02-14,Beauty Products,Estee Lauder Serum,1,105.0,105.0,South America,PayPal
10046,2024-02-15,Home Appliances,Instant Pot Duo,2,99.95,199.9,Europe,PayPal
10047,2024-02-16,Clothing,Levi's 501 Jeans,1,69.99,69.99,South America,PayPal
