iter	Passed	Remaining
0	0	908
1	1	866
2	3	1025
3	4	1028
4	4	976
5	5	936
6	6	912
7	7	887
8	7	873
9	8	852
10	9	842
11	10	828
12	10	817
13	11	813
14	12	807
15	12	799
16	13	792
17	14	785
18	15	781
19	15	777
20	16	769
21	17	763
22	18	770
23	19	775
24	19	774
25	20	774
26	21	774
27	22	772
28	22	769
29	23	766
30	24	764
31	25	762
32	25	760
33	26	757
34	27	755
35	28	753
36	28	751
37	29	748
38	30	747
39	31	744
40	31	740
41	32	737
42	33	739
43	34	745
44	35	744
45	35	745
46	36	742
47	37	739
48	38	737
49	38	735
50	39	734
51	40	732
52	40	729
53	41	728
54	42	726
55	43	725
56	43	724
57	44	722
58	45	720
59	45	718
60	46	715
61	47	713
62	47	712
63	48	713
64	49	713
65	50	713
66	51	712
67	51	709
68	52	709
69	53	708
70	54	708
71	54	707
72	55	706
73	56	705
74	57	703
75	57	702
76	58	701
77	59	699
78	59	697
79	60	695
80	61	693
81	61	692
82	62	687
83	62	686
84	63	687
85	64	688
86	65	688
87	66	686
88	66	685
89	67	684
90	68	682
91	69	681
92	69	680
93	70	679
94	71	677
95	71	676
96	72	675
97	73	673
98	73	672
99	74	672
100	75	671
101	76	670
102	76	668
103	77	667
104	78	667
105	79	670
106	80	673
107	81	674
108	82	674
109	83	674
110	84	674
111	85	674
112	85	673
113	86	673
114	87	673
115	88	673
116	88	671
117	89	670
118	90	669
119	91	668
120	91	667
121	92	665
122	93	664
123	94	665
124	95	665
125	95	665
126	96	663
127	97	663
128	98	662
129	98	661
130	99	660
131	100	659
132	101	658
133	101	657
134	102	656
135	103	656
136	103	654
137	104	654
138	105	653
139	106	652
140	106	651
141	107	649
142	108	647
143	108	646
144	109	647
145	110	647
146	111	646
147	112	645
148	112	644
149	113	643
150	114	642
151	115	641
152	115	641
153	116	640
154	117	640
155	118	640
156	119	639
157	119	638
158	120	637
159	121	636
160	121	634
161	122	633
162	123	632
163	123	630
164	124	630
165	125	631
166	126	630
167	127	629
168	127	628
169	128	627
170	129	627
171	130	626
172	130	625
173	131	624
174	132	623
175	132	622
176	133	621
177	134	620
178	135	619
179	135	618
180	136	618
181	137	616
182	137	615
183	138	614
184	139	613
185	140	614
186	141	613
187	142	613
188	142	612
189	143	611
190	144	610
191	144	610
192	145	609
193	146	608
194	147	607
195	147	606
196	148	605
197	149	605
198	150	604
199	150	603
200	151	602
201	152	601
202	153	600
203	153	599
204	154	598
205	155	598
206	156	597
207	156	597
208	157	596
209	158	595
210	159	595
211	159	594
212	160	593
213	161	592
214	162	591
215	162	591
216	163	590
217	164	589
218	165	588
219	165	588
220	166	587
221	167	586
222	167	585
223	168	584
224	169	582
225	169	581
226	170	581
227	171	581
228	172	580
229	173	580
230	174	579
231	175	579
232	175	578
233	176	577
234	177	576
235	177	575
236	178	574
237	179	573
238	179	572
239	180	571
240	181	570
241	181	569
242	182	568
243	183	567
244	183	566
245	184	565
246	185	565
247	186	564
248	186	563
249	187	563
250	188	562
251	189	561
252	189	560
253	190	559
254	191	558
255	192	558
256	192	557
257	193	556
258	194	555
259	194	554
260	195	553
261	196	552
262	196	551
263	197	550
264	198	549
265	198	548
266	199	547
267	200	546
268	201	546
269	201	546
270	202	545
271	203	544
272	204	543
273	204	543
274	205	542
275	206	541
276	207	540
277	207	539
278	208	538
279	209	537
280	209	536
281	210	535
282	211	534
283	211	533
284	212	532
285	213	531
286	213	530
287	214	529
288	215	528
289	215	528
290	216	527
291	217	527
292	218	526
293	219	526
294	220	525
295	220	525
296	221	524
297	222	523
298	223	522
299	223	521
300	224	521
301	225	520
302	225	519
303	226	518
304	227	517
305	227	516
306	228	516
307	229	515
308	230	514
309	230	513
310	231	513
311	232	513
312	233	512
313	234	511
314	234	510
315	235	510
316	236	509
317	236	508
318	237	507
319	238	506
320	238	505
321	239	504
322	240	503
323	241	502
324	241	501
325	242	501
326	243	500
327	243	499
328	244	498
329	245	497
330	245	496
331	246	496
332	247	495
333	248	495
334	249	494
335	249	493
336	250	492
337	251	491
338	251	490
339	252	490
340	253	489
341	253	488
342	254	487
343	255	486
344	256	486
345	256	485
346	257	484
347	258	483
348	258	482
349	259	481
350	259	480
351	260	479
352	261	479
353	262	478
354	263	478
355	263	477
356	264	476
357	265	476
358	266	475
359	266	474
360	267	473
361	268	472
362	268	471
363	269	470
364	270	470
365	270	469
366	271	468
367	272	467
368	273	466
369	273	466
370	274	465
371	275	464
372	275	463
373	276	463
374	277	462
375	278	462
376	279	461
377	280	460
378	280	460
379	281	459
380	282	458
381	283	457
382	283	457
383	284	456
384	285	455
385	285	454
386	286	453
387	287	453
388	288	452
389	288	451
390	289	450
391	290	449
392	290	449
393	291	448
394	292	447
395	293	447
396	293	446
397	294	445
398	295	444
399	296	444
400	296	443
401	297	442
402	298	441
403	298	441
404	299	440
405	300	439
406	300	438
407	301	437
408	302	436
409	302	435
410	303	435
411	304	434
412	304	433
413	305	432
414	306	431
415	306	430
416	307	430
417	308	429
418	309	429
419	310	428
420	310	427
421	311	426
422	312	425
423	312	425
424	313	424
425	314	423
426	314	422
427	315	421
428	316	421
429	317	420
430	317	419
431	318	418
432	319	418
433	319	417
434	320	416
435	321	415
436	322	415
437	323	414
438	323	414
439	324	413
440	325	412
441	326	411
442	326	410
443	327	410
444	328	409
445	329	408
446	329	407
447	330	407
448	331	406
449	331	405
450	332	404
451	333	403
452	333	402
453	334	402
454	334	401
455	335	400
456	336	399
457	337	398
458	337	398
459	338	397
460	339	397
461	340	396
462	341	395
463	341	395
464	342	394
465	343	393
466	344	392
467	344	391
468	345	391
469	346	390
470	346	389
471	347	388
472	348	388
473	349	387
474	349	386
475	350	385
476	351	385
477	352	384
478	352	383
479	353	383
480	354	382
481	355	382
482	356	381
483	357	381
484	358	380
485	359	379
486	359	379
487	360	378
488	361	377
489	362	376
490	362	376
491	363	375
492	364	374
493	365	373
494	365	373
495	366	372
496	367	371
497	368	371
498	368	370
499	369	369
500	370	369
501	371	368
502	372	367
503	372	366
504	373	366
505	374	365
506	374	364
507	375	363
508	376	363
509	376	362
510	377	361
511	378	360
512	379	359
513	379	359
514	380	358
515	381	357
516	382	356
517	382	356
518	383	355
519	384	354
520	385	354
521	385	353
522	386	352
523	387	351
524	388	351
525	388	350
526	389	349
527	390	349
528	391	348
529	391	347
530	392	346
531	393	345
532	393	345
533	394	344
534	395	343
535	395	342
536	396	341
537	397	341
538	398	340
539	398	339
540	399	339
541	400	338
542	401	337
543	401	336
544	402	336
545	403	335
546	403	334
547	404	333
548	405	332
549	405	332
550	406	331
551	407	330
552	408	329
553	408	329
